experiment_id,date,git_commit,dataset_version,dataset_checksum,model,image_size,batch_size,optimizer,learning_rate,scheduler,epochs,seed,augmentation,loss_function,hardware,training_time_min,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,status,notes
exp_baseline_simplecnn,2026-09-17,c16c102bd19514a196fb9813e337c6693ad88923,hirise-map-proj-v3,e22ee769a61986082f76d762182c572ce2b9ae6b7a142b23a14e46631c9e4d06,simple_cnn,227,32,adamw,0.001,none,10,42,none (dataset pre-augmented 6x),cross_entropy,Tesla T4,22.04,0.7766,0.2978,,,COMPLETED,Phase 05 baseline. Run in Colab (notebooks/colab_train.ipynb) by project owner.
exp_resnet18_frozen_run1,2026-09-17,c16c102bd19514a196fb9813e337c6693ad88923,hirise-map-proj-v3,e22ee769a61986082f76d762182c572ce2b9ae6b7a142b23a14e46631c9e4d06,resnet18_frozen_backbone,227,32,adamw,0.001,none,5,42,none (dataset pre-augmented 6x),cross_entropy,Tesla T4,10.68,0.8509,0.5476,,,COMPLETED,Phase 06. First of 4 runs of this cell; see docs/REPRODUCIBILITY.md for the run-to-run variance despite fixed seed.
exp_resnet18_frozen_run2,2026-09-17,c16c102bd19514a196fb9813e337c6693ad88923,hirise-map-proj-v3,e22ee769a61986082f76d762182c572ce2b9ae6b7a142b23a14e46631c9e4d06,resnet18_frozen_backbone,227,32,adamw,0.001,none,5,42,none (dataset pre-augmented 6x),cross_entropy,Tesla T4,10.56,0.8554,0.5498,,,COMPLETED,Phase 06. Second of 4 runs of this cell.
exp_resnet18_finetuned,2026-09-17,c16c102bd19514a196fb9813e337c6693ad88923,hirise-map-proj-v3,e22ee769a61986082f76d762182c572ce2b9ae6b7a142b23a14e46631c9e4d06,resnet18_finetuned,227,32,adamw,0.0001,none,15,42,none (dataset pre-augmented 6x),cross_entropy,Tesla T4,52.9,0.9013,0.7188,0.9311,0.7156,COMPLETED,"Phase 06 full fine-tune; best val macro_f1 of all candidates, selected for final test evaluation (Phase 08). Test macro_f1 (0.7156) is close to this run's val macro_f1 (0.7188), consistent with this being the tested model -- not independently confirmed which exact run object was assigned to final_model."
exp_resnet18_frozen_run3,2026-09-17,c16c102bd19514a196fb9813e337c6693ad88923,hirise-map-proj-v3,e22ee769a61986082f76d762182c572ce2b9ae6b7a142b23a14e46631c9e4d06,resnet18_frozen_backbone,227,32,adamw,0.001,none,5,42,none (dataset pre-augmented 6x),cross_entropy,Tesla T4,10.53,0.8451,0.5761,,,COMPLETED,Phase 06. Third of 4 runs of this cell.
exp_resnet18_frozen_run4,2026-09-17,c16c102bd19514a196fb9813e337c6693ad88923,hirise-map-proj-v3,e22ee769a61986082f76d762182c572ce2b9ae6b7a142b23a14e46631c9e4d06,resnet18_frozen_backbone,227,32,adamw,0.001,none,5,42,none (dataset pre-augmented 6x),cross_entropy,Tesla T4,10.52,0.8461,0.5195,,,COMPLETED,Phase 06. Fourth of 4 runs of this cell.
exp_baseline_simplecnn_2ndsession,2026-09-17,c16c102bd19514a196fb9813e337c6693ad88923,hirise-map-proj-v3,e22ee769a61986082f76d762182c572ce2b9ae6b7a142b23a14e46631c9e4d06,simple_cnn,227,32,adamw,0.001,none,10,42,none (dataset pre-augmented 6x),cross_entropy,Tesla T4,22.6,0.7838,0.3123,,,COMPLETED,"Phase 05 baseline, re-run in a second full fresh Colab session (see docs/REPRODUCIBILITY.md). val_macro_f1 differs from the first run (0.2978) -- non-determinism, not an error."
exp_resnet18_frozen_2ndsession_run1,2026-09-17,c16c102bd19514a196fb9813e337c6693ad88923,hirise-map-proj-v3,e22ee769a61986082f76d762182c572ce2b9ae6b7a142b23a14e46631c9e4d06,resnet18_frozen_backbone,227,32,adamw,0.001,none,5,42,none (dataset pre-augmented 6x),cross_entropy,Tesla T4,10.65,0.8509,0.5476,,,COMPLETED,"Second session. Matches exp_resnet18_frozen_run1 exactly (0.8509/0.5476) -- frozen-backbone runs appear far more reproducible than full fine-tunes, see docs/REPRODUCIBILITY.md."
exp_resnet18_frozen_2ndsession_run2,2026-09-17,c16c102bd19514a196fb9813e337c6693ad88923,hirise-map-proj-v3,e22ee769a61986082f76d762182c572ce2b9ae6b7a142b23a14e46631c9e4d06,resnet18_frozen_backbone,227,32,adamw,0.001,none,5,42,none (dataset pre-augmented 6x),cross_entropy,Tesla T4,10.59,0.8554,0.5498,,,COMPLETED,Second session. Matches exp_resnet18_frozen_run2 exactly (0.8554/0.5498).
exp_resnet18_finetuned_2ndsession,2026-09-17,c16c102bd19514a196fb9813e337c6693ad88923,hirise-map-proj-v3,e22ee769a61986082f76d762182c572ce2b9ae6b7a142b23a14e46631c9e4d06,resnet18_finetuned,227,32,adamw,0.0001,none,6,42,none (dataset pre-augmented 6x),cross_entropy,Tesla T4,19.22,0.9013,0.6926,0.9363,0.7356,COMPLETED,"Second full session, separately-trained model (NOT the same weights as exp_resnet18_finetuned). Early-stopped at epoch 6 (vs. 15 for the first run); val_macro_f1 0.6926 vs. 0.7188 -- real, measured non-determinism, see docs/REPRODUCIBILITY.md. Final-tested once (this is a different model, so a second test-set evaluation is legitimate under project rule Sec6, not repeated evaluation of the same model); full result in reports/final_test_evaluation_run2.json. Spider recall still 0/7 in this run too."
exp_resnet18_finetuned_classweighted,2026-09-17,718499b2fc2e3d49cf2df532a87127c19771a7db,hirise-map-proj-v3,e22ee769a61986082f76d762182c572ce2b9ae6b7a142b23a14e46631c9e4d06,resnet18_finetuned_classweighted,227,32,adamw,0.0001,none,15,42,none (dataset pre-augmented 6x),cross_entropy_weighted,Tesla T4,48.1,0.8442,0.7153,,,COMPLETED,"Phase 07: balanced inverse-frequency class weights. val_macro_f1 0.7153 -- essentially a wash vs. the two unweighted fine-tune runs (0.7188 and 0.6926), i.e. within measured run-to-run noise, NOT a clear win. Critically, spider recall/F1 is STILL 0.0/0.0 (val set) -- class weighting did not fix the motivating problem. See docs/ERROR_ANALYSIS.md and docs/EXPLAINABILITY.md for the Grad-CAM finding (spider consistently confused with impact ejecta, not attending to noise)."
